Table ID,Table Title,Table Universe,Year
B10056,SEX OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Universe: Grandparents living with own grandchildren under 18 years,"1,5"
B10057,MARITAL STATUS BY GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Universe: Grandparents living with own grandchildren under 18 years,"1,5"
B10058,EMPLOYMENT STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Universe: Grandparents living with own grandchildren under 18 years,"1,5"
B10059,POVERTY STATUS IN THE PAST 12 MONTHS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Universe: Grandparents living with own grandchildren under 18 years for whom poverty status is determined,"1,5"
B10063,HOUSEHOLDS WITH GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND PRESENCE OF PARENT OF GRANDCHILDREN,Universe: Households,"1,5"
B11001,HOUSEHOLD TYPE (INCLUDING LIVING ALONE),Universe: Households,"1,5"
B11001A,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE),Universe: Households with a householder who is White alone,"1,5"
B11001B,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),Universe: Households with a householder who is Black or African American alone,"1,5"
B11001C,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: Households with a householder who is American Indian and Alaska Native alone,"1,5"
B11001D,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (ASIAN ALONE),Universe: Households with a householder who is Asian alone,"1,5"
B11001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Households with a householder who is Native Hawaiian and Other Pacific Islander alone,"1,5"
B11001F,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (SOME OTHER RACE ALONE),Universe: Households with a householder who is Some other race alone,"1,5"
B11001G,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (TWO OR MORE RACES),Universe: Households with a householder who is Two or more races,"1,5"
B11001H,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: Households with a householder who is White alone, not Hispanic or Latino","1,5"
B11001I,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (HISPANIC OR LATINO),Universe: Households with a householder who is Hispanic or Latino,"1,5"
B11002,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS,Universe: Population in households,"1,5"
B11002A,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE),Universe: Population in households with a householder who is White alone,"1,5"
B11002B,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE),Universe: Population in households with a householder who is Black or African American alone,"1,5"
B11002C,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: Population in households with a householder who is American Indian and Alaska Native alone,"1,5"
B11002D,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (ASIAN ALONE),Universe: Population in households with a householder who is Asian alone,"1,5"
B11002E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Population in households with a householder who is Native Hawaiian and Other Pacific Islander alone,"1,5"
B11002F,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (SOME OTHER RACE ALONE),Universe: Population in households with a householder who is Some other race alone,"1,5"
B11002G,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (TWO OR MORE RACES),Universe: Population in households with a householder who is Two or more races,"1,5"
B11002H,"HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: Population in households with a householder who is White alone, not Hispanic or Latino","1,5"
B11002I,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (HISPANIC OR LATINO),Universe: Population in households with a householder who is Hispanic or Latino,"1,5"
B11003,FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS ,Universe: Families,"1,5"
B11004,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Universe: Families,"1,5"
B11005,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE,Universe: Households,"1,5"
C11005,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE,Universe: Households,1
B11006,HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER BY HOUSEHOLD TYPE,Universe: Households,"1,5"
B11007,"HOUSEHOLDS BY PRESENCE OF PEOPLE 65 YEARS AND OVER, HOUSEHOLD SIZE AND HOUSEHOLD TYPE",Universe: Households,"1,5"
B11008,COHABITING COUPLE HOUSEHOLDS BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS,Universe: Households,"1,5"
B11009,COUPLED HOUSEHOLDS BY TYPE,Universe: Households,"1,5"
B11010,NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER,Universe: Nonfamily households,"1,5"
C11010,NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER,Universe: Nonfamily households,1
B11011,HOUSEHOLD TYPE BY UNITS IN STRUCTURE,Universe: Households,"1,5"
B11012,HOUSEHOLDS BY TYPE,Universe: Households,"1,5"
B11013,SUBFAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,Universe: Subfamilies,"1,5"
C11013,SUBFAMILY TYPE,Universe: Subfamilies,1
B11014,POPULATION IN SUBFAMILIES BY SUBFAMILY TYPE BY RELATIONSHIP,Universe: Population in subfamilies,"1,5"
C11014,POPULATION IN SUBFAMILIES BY SUBFAMILY TYPE ,Universe: Population in subfamilies,1
B11015,HOUSEHOLDS BY PRESENCE OF NONRELATIVES,Universe: Households,"1,5"
B11016,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Universe: Households,"1,5"
C11016,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Universe: Households,1
B11017,MULTIGENERATIONAL HOUSEHOLDS,Universe: Households,"1,5"
B12001,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Universe: Population 15 years and over,"1,5"
B12002,SEX BY MARITAL STATUS BY AGE FOR THE POPULATION 15 YEARS AND OVER,Universe: Population 15 years and over,"1,5"
B12002A,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE),Universe: White alone population 15 years and over,"1,5"
B12002B,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 15 years and over,"1,5"
B12002C,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 15 years and over,"1,5"
B12002D,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (ASIAN ALONE),Universe: Asian alone population 15 years and over,"1,5"
B12002E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 15 years and over,"1,5"
B12002F,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (SOME OTHER RACE ALONE),Universe: Some other race alone population 15 years and over,"1,5"
B12002G,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (TWO OR MORE RACES),Universe: Two or more races population 15 years and over,"1,5"
B12002H,"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population 15 years and over","1,5"
B12002I,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (HISPANIC OR LATINO),Universe: Hispanic or Latino population 15 years and over,"1,5"
B12006,MARITAL STATUS BY SEX BY LABOR FORCE PARTICIPATION,Universe: Population 16 years and over,"1,5"
B12007,MEDIAN AGE AT FIRST MARRIAGE,Universe: Population 15 to 54 years,"1,5"
B12007A,MEDIAN AGE AT FIRST MARRIAGE (WHITE ALONE),Universe: White alone population 15 to 54 years,"1,5"
B12007B,MEDIAN AGE AT FIRST MARRIAGE (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 15 to 54 years,"1,5"
B12007C,MEDIAN AGE AT FIRST MARRIAGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 15 to 54 years,"1,5"
B12007D,MEDIAN AGE AT FIRST MARRIAGE (ASIAN ALONE),Universe: Asian alone population 15 to 54 years,"1,5"
B12007E,MEDIAN AGE AT FIRST MARRIAGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 15 to 54 years,"1,5"
B12007F,MEDIAN AGE AT FIRST MARRIAGE (SOME OTHER RACE ALONE),Universe: Some other race alone population 15 to 54 years,"1,5"
B12007G,MEDIAN AGE AT FIRST MARRIAGE (TWO OR MORE RACES),Universe: Two or more races population 15 to 54 years,"1,5"
B12007H,"MEDIAN AGE AT FIRST MARRIAGE (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population 15 to 54 years","1,5"
B12007I,MEDIAN AGE AT FIRST MARRIAGE (HISPANIC OR LATINO),Universe: Hispanic or Latino population 15 to 54 years,"1,5"
B12501,MARRIAGES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Universe: Population 15 Years and over,"1,5"
B12502,MARRIAGES ENDING IN WIDOWHOOD IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER ,Universe: Population 15 Years and over,"1,5"
B12503,DIVORCES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Universe: Population 15 Years and over,"1,5"
B12504,MEDIAN DURATION OF CURRENT MARRIAGE IN YEARS BY SEX BY MARITAL STATUS FOR THE MARRIED POPULATION 15 YEARS AND OVER,Universe: Population 15 Years and Over Who Are Now Married or Separated,"1,5"
B12505,NUMBER OF TIMES MARRIED BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Universe: Population 15 Years and Over,"1,5"
B13002,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND AGE,Universe: Women 15 to 50 years,"1,5"
B13002A,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE),Universe: White alone women 15 to 50 years,"1,5"
B13002B,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone women 15 to 50 years,"1,5"
B13002C,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone women 15 to 50 years,"1,5"
B13002D,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (ASIAN ALONE),Universe: Asian alone women 15 to 50 years,"1,5"
B13002E,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone women 15 to 50 years,"1,5"
B13002F,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (SOME OTHER RACE ALONE),Universe: Some other race alone women 15 to 50 years,"1,5"
B13002G,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (TWO OR MORE RACES),Universe: Two or more races women 15 to 50 years,"1,5"
B13002H,"WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino women 15 to 50 years","1,5"
B13002I,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (HISPANIC OR LATINO),Universe: Hispanic or Latino women 15 to 50 years,"1,5"
B13004,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY PRESENCE OF SPOUSE OR UNMARRIED PARTNER,Universe: Women 15 to 50 years in households,"1,5"
B13008,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND NATIVITY,Universe: Women 15 to 50 years,"1,5"
B13010,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND POVERTY STATUS IN THE PAST 12 MONTHS,Universe: Women 15 to 50 years for whom poverty status is determined,"1,5"
B13012,WOMEN 16 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND LABOR FORCE STATUS,Universe: Women 16 to 50 years,"1,5"
B13014,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND EDUCATIONAL ATTAINMENT,Universe: Women 15 to 50 years,"1,5"
B13015,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND RECEIPT OF PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS,Universe: Women 15 to 50 years,"1,5"
B13016,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY AGE,Universe: Women 15 to 50 years,"1,5"
B14001,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,Universe: Population 3 years and over,"1,5"
B14002,SEX BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL BY TYPE OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,Universe: Population 3 years and over,"1,5"
C14002,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL BY TYPE OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,Universe: Population 3 years and over,1
B14003,SEX BY SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 3 YEARS AND OVER,Universe: Population 3 years and over,"1,5"
C14003,SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 3 YEARS AND OVER,Universe: Population 3 years and over,1
B14004,SEX BY COLLEGE OR GRADUATE SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 15 YEARS AND OVER,Universe: Population 15 years and over,"1,5"
B14005,SEX BY SCHOOL ENROLLMENT BY EDUCATIONAL ATTAINMENT BY EMPLOYMENT STATUS FOR THE POPULATION 16 TO 19 YEARS,Universe: Population 16 to 19 years,"1,5"
C14005,SEX BY SCHOOL ENROLLMENT BY EDUCATIONAL ATTAINMENT BY EMPLOYMENT STATUS FOR THE POPULATION 16 TO 19 YEARS,Universe: Population 16 to 19 years,1
B14006,POVERTY STATUS IN THE PAST 12 MONTHS BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,Universe: Population 3 years and over for whom poverty status is determined,"1,5"
B14007,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,Universe: Population 3 years and over,"1,5"
B14007A,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE),Universe: White alone population 3 years and over,"1,5"
C14007A,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE),Universe: White alone population 3 years and over,1
B14007B,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 3 years and over,"1,5"
C14007B,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 3 years and over,1
B14007C,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 3 years and over,"1,5"
C14007C,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 3 years and over,1
B14007D,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (ASIAN ALONE),Universe: Asian alone population 3 years and over,"1,5"
C14007D,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (ASIAN ALONE),Universe: Asian alone population 3 years and over,1
B14007E,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 3 years and over,"1,5"
C14007E,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 3 years and over,1
B14007F,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (SOME OTHER RACE ALONE),Universe: Some other race alone population 3 years and over,"1,5"
C14007F,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (SOME OTHER RACE ALONE),Universe: Some other race alone population 3 years and over,1
B14007G,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (TWO OR MORE RACES),Universe: Two or more races population 3 years and over,"1,5"
C14007G,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (TWO OR MORE RACES),Universe: Two or more races population 3 years and over,1
B14007H,"SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino, population 3 years and over","1,5"
C14007H,"SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino, population 3 years and over",1
B14007I,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO),Universe: Hispanic or Latino population 3 years and over,"1,5"
C14007I,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO),Universe: Hispanic or Latino population 3 years and over,1
B15001,SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER,Universe: Population 18 years and over,"1,5"
B15002,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe: Population 25 years and over,"1,5"
C15002,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe: Population 25 years and over,1
B15002A,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE),Universe: White alone population 25 years and over,1
C15002A,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE),Universe: White alone population 25 years and over,"1,5"
B15002B,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 25 years and over,1
C15002B,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 25 years and over,"1,5"
B15002C,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 25 years and over,1
C15002C,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 25 years and over,"1,5"
B15002D,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (ASIAN ALONE),Universe: Asian alone population 25 years and over,1
C15002D,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (ASIAN ALONE),Universe: Asian alone population 25 years and over,"1,5"
B15002E,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 25 years and over,1
C15002E,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 25 years and over,"1,5"
B15002F,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (SOME OTHER RACE ALONE),Universe: Some other race alone population 25 years and over,1
C15002F,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (SOME OTHER RACE ALONE),Universe: Some other race alone population 25 years and over,"1,5"
B15002G,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (TWO OR MORE RACES),Universe: Two or more races population 25 years and over,1
C15002G,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (TWO OR MORE RACES),Universe: Two or more races population 25 years and over,"1,5"
B15002H,"SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population 25 years and over",1
C15002H,"SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population 25 years and over","1,5"
B15002I,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (HISPANIC OR LATINO),Universe: Hispanic or Latino population 25 years and over,1
C15002I,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (HISPANIC OR LATINO),Universe: Hispanic or Latino population 25 years and over,"1,5"
B15003,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe: Population 25 years and over,"1,5"
C15003,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe: Population 25 years and over,1
B15010,DETAILED FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR FOR THE POPULATION 25 YEARS AND OVER,Universe: Population 25 years and over with a Bachelor's degree or higher attainment,1
C15010,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR FOR THE POPULATION 25 YEARS AND OVER,Universe: Population 25 years and over with a Bachelor's degree or higher attainment,"1,5"
C15010A,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE),Universe: White alone population 25 years and over with a Bachelor's degree or higher attainment,"1,5"
C15010B,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 25 years and over with a Bachelor's degree or higher attainment,"1,5"
C15010C,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 25 years and over with a Bachelor's degree or higher attainment,"1,5"
C15010D,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (ASIAN ALONE),Universe: Asian alone population 25 years and over with a Bachelor's degree or higher attainment,"1,5"
C15010E,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 25 years and over with a Bachelor's degree or higher attainment,"1,5"
C15010F,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (SOME OTHER RACE ALONE),Universe: Some other race alone population 25 years and over with a Bachelor's degree or higher attainment,"1,5"
C15010G,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (TWO OR MORE RACES),Universe: Two or more races population 25 years and over with a Bachelor's degree or higher attainment,"1,5"
C15010H,"FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population 25 years and over with a Bachelor's degree or higher attainment","1,5"
C15010I,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (HISPANIC OR LATINO),Universe: Hispanic or Latino population 25 years and over with a Bachelor's degree or higher attainment,"1,5"
B15011,SEX BY AGE BY FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR FOR THE POPULATION 25 YEARS AND OVER,Universe: Population 25 years and over with a Bachelor's degree or higher attainment,"1,5"
B15012,TOTAL FIELDS OF BACHELOR'S DEGREES REPORTED ,Universe: Population 25 years and over with a Bachelor's degree or higher attainment,"1,5"
B16001,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,Universe: Population 5 years and over,"1,5"
C16001,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER,Universe: Population 5 years and over,"1,5"
